municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Vaxholm,5.6,8.8,2020,59.40227826086956,18.35246521739132,11886
Vaxholm,5.6,8.8,2020,59.40227826086956,18.35246521739132,11886
Växjö,1.4,3.7,2016,56.87726630434784,14.812383695652157,94859
Växjö,2.2,4.8,2020,56.87726630434784,14.812383695652157,94859
Vellinge,2.5,4.9,2016,55.441327272727314,12.955487272727272,36915
Vellinge,3.0,6.7,2020,55.441327272727314,12.955487272727272,36915
Vetlanda,2.3,5.4,2016,57.44515999999996,15.092022857142862,27502
Vetlanda,2.6,6.5,2020,57.44515999999996,15.092022857142862,27502
Vilhelmina,3.5,9.0,2016,64.56896363636363,16.894954545454542,6539
Vilhelmina,7.2,12.7,2020,64.56896363636363,16.894954545454542,6539
Vimmerby,1.4,4.5,2016,57.680040476190456,15.9081619047619,15672
Vimmerby,2.4,6.9,2020,57.680040476190456,15.9081619047619,15672
Vindeln,3.3,7.4,2016,64.25790714285714,19.57968571428572,5485
Vindeln,5.5,6.4,2020,64.25790714285714,19.57968571428572,5485
Vingåker,3.1,5.9,2016,59.13092666666668,16.03093333333333,9144
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333,9144
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333,9144
Ystad,2.1,3.7,2016,55.45339622641511,13.816128301886788,30970
Ystad,2.3,4.6,2020,55.45339622641511,13.816128301886788,30970
Upplands Väsby,6.3,9.8,2020,59.52182499999997,17.90558382352944,47184
Upplands Väsby,6.3,9.8,2020,59.52182499999997,17.90558382352944,47184
Sollentuna,4.4,6.9,2020,59.42820921052628,17.952450000000027,73990
Sollentuna,4.4,6.9,2020,59.42820921052628,17.952450000000027,73990
Sigtuna,3.6,6.6,2020,59.60616470588235,17.736970588235295,49537
Sigtuna,3.6,6.6,2020,59.60616470588235,17.736970588235295,49537
