municipality,girls_perc,boys_perc,year,latitude,longitude,pop_2020
Lidköping,2.6,7.9,2016,58.478290909090944,13.130585454545445,40328
Lidköping,3.1,7.7,2020,58.478290909090944,13.130585454545445,40328
Lilla Edet,4.5,10.1,2016,58.11892857142856,12.147839285714284,14282
Lilla Edet,7.6,9.7,2020,58.11892857142856,12.147839285714284,14282
Lindesberg,1.5,3.7,2016,59.58611777777778,15.24193777777778,23658
Lindesberg,3.7,5.6,2020,59.58611777777778,15.24193777777778,23658
Linköping,2.4,5.0,2016,58.41754378109445,15.60407064676619,164616
Linköping,2.8,6.9,2020,58.41754378109445,15.60407064676619,164616
Ljungby,0.7,2.3,2016,56.80546829268295,13.919197560975617,28401
Ljungby,1.2,3.0,2020,56.80546829268295,13.919197560975617,28401
Ljusdal,2.6,6.6,2016,61.808367857142855,15.997407142857138,18867
Ljusdal,3.2,8.3,2020,61.808367857142855,15.997407142857138,18867
Ljusnarsberg,2.7,8.6,2016,59.89493529411764,14.986558823529416,4674
Ljusnarsberg,4.6,9.4,2020,59.89493529411764,14.986558823529416,4674
Lomma,1.3,2.5,2016,55.68710588235293,13.050547058823534,24876
Lomma,1.5,3.3,2020,55.68710588235293,13.050547058823534,24876
